,Machine learning,Mobile development,web development,Blockchain,Cyber security
Asset management system,,,,"solidity,smart contract,ethereum",
FastText: Library for fast text representation and classification,,,,,
Deep-photo-styletransfer,,,,,
facial recognition api for Python and the command line,,,,,
Magenta: Music and Art Generation with Machine Intelligence,,,,,
Magenta: Music and Art Generation with Machine Intelligence,,,,,
Fast Style Transfer in TensorFlow,,,,,
Sentiment Analyzer of Social Media,,,,,
Classification of Iris Flowers,,,,,
Identifying Product Bundles from Sales Data,,,,,
Music Recommendation System,,,,,
Walmart Sales Forecasting,,,,,
 Handwritten Digit Classification,,,,,
Disease Prediction,,,,,
Stock Price Prediction,,,,,
Human Activity Recognition System,,,,,
Location Finder Application,,,,,
Mobile Game Application,,,,,
Vocabulary Learning Application ,,,,,
Conduct Monitor – An App For Monitoring Student's Behavior,,,,,
3D Video app,,,,,
Musical App,,,,,
Immunization Healthcare App,,,,,
Children Story Books,,,,,
Game Activity recorder,,,,,
Mobile Insurance App,,"android,",,,
